Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,1.0,2,Female,94.0,3,2,Sales Executive,4,Single,5993.0,19479.0,8,Y,Yes,11,3,1,80.0,0,8,0,1,6.0,4,0,5
49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,2.0,3,Male,61.0,2,2,Research Scientist,2,Married,,24907.0,1,Y,No,23,4,4,80.0,1,10,3,3,10.0,7,1,7
37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,1,4.0,4,Male,92.0,2,1,Laboratory Technician,3,Single,2090.0,2396.0,6,Y,Yes,15,3,2,80.0,0,7,3,3,0.0,0,0,0
33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,5.0,4,Female,56.0,3,1,Research Scientist,3,Married,2909.0,23159.0,1,Y,Yes,11,3,3,80.0,0,8,3,3,8.0,7,3,0
27,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,7.0,1,Male,40.0,3,1,Laboratory Technician,2,Married,3468.0,16632.0,9,Y,No,12,3,4,80.0,1,6,3,3,2.0,2,2,2
32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,8.0,4,Male,79.0,3,1,Laboratory Technician,4,Single,3068.0,11864.0,0,Y,No,13,3,3,80.0,0,8,2,2,7.0,7,3,6
59,No,Travel_Rarely,1324,Research & Development,3,3,Medical,1,10.0,3,Female,81.0,4,1,,1,Married,2670.0,9964.0,4,Y,Yes,20,4,1,80.0,3,12,3,2,1.0,0,0,0
30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,1,11.0,4,Male,67.0,3,1,Laboratory Technician,3,Divorced,2693.0,13335.0,1,Y,No,22,4,2,80.0,1,1,2,3,1.0,0,0,0
38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,12.0,4,Male,44.0,2,3,Manufacturing Director,3,Single,9526.0,8787.0,0,Y,No,21,4,2,80.0,0,10,2,3,9.0,7,1,8
36,No,Travel_Rarely,1299,Research & Development,27,3,Medical,1,13.0,3,Male,94.0,3,2,Healthcare Representative,3,Married,5237.0,16577.0,6,Y,No,13,3,2,80.0,2,17,3,2,7.0,7,7,7
35,No,,809,Research & Development,16,3,Medical,1,14.0,1,Male,84.0,4,1,Laboratory Technician,2,Married,2426.0,16479.0,0,Y,No,13,3,3,80.0,1,6,5,3,5.0,4,0,3
29,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,1,15.0,4,Female,49.0,2,2,Laboratory Technician,3,Single,4193.0,12682.0,0,Y,Yes,12,3,4,80.0,0,10,3,3,9.0,5,0,8
31,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,16.0,1,Male,31.0,3,1,Research Scientist,3,Divorced,2911.0,15170.0,1,Y,No,17,3,4,80.0,1,5,1,2,5.0,2,4,3
34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,1,18.0,2,Male,93.0,3,1,Laboratory Technician,4,Divorced,2661.0,8758.0,0,Y,No,11,3,3,80.0,1,3,2,3,2.0,2,1,2
28,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,1,19.0,3,Male,50.0,2,1,Laboratory Technician,3,Single,2028.0,12947.0,5,Y,,14,3,2,80.0,0,6,4,3,4.0,2,0,3
29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,1,20.0,2,Female,51.0,4,3,Manufacturing Director,1,Divorced,9980.0,10195.0,1,Y,No,11,3,3,80.0,1,10,1,3,10.0,9,8,8
32,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,21.0,1,Male,80.0,4,1,Research Scientist,2,Divorced,3298.0,15053.0,0,Y,Yes,12,3,4,80.0,2,7,5,2,6.0,2,0,5
22,No,Non-Travel,1123,Research & Development,16,2,Medical,1,22.0,4,Male,96.0,4,1,Laboratory Technician,4,Divorced,2935.0,7324.0,1,Y,Yes,13,3,2,80.0,2,1,2,2,1.0,0,0,0
53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,23.0,1,Female,78.0,2,4,Manager,4,Married,15427.0,22021.0,2,Y,No,16,3,3,80.0,0,31,3,3,25.0,8,3,7
38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,1,24.0,4,Male,45.0,3,1,Research Scientist,4,Single,3944.0,4306.0,5,Y,Yes,11,3,3,80.0,0,6,3,3,3.0,2,1,2
24,No,Non-Travel,673,Research & Development,11,2,Other,1,26.0,1,Female,96.0,4,2,Manufacturing Director,3,Divorced,4011.0,8232.0,0,Y,No,18,3,4,80.0,1,5,5,2,4.0,2,1,3
36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,1,27.0,3,Male,82.0,2,1,Sales Representative,1,Single,3407.0,6986.0,7,Y,No,23,4,2,80.0,0,10,4,3,5.0,3,0,3
